PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#
NOUN-title	2	2	b-noun.communication	1	b-noun.attribute	1										
VBN-done	3	5	b-verb.stative	2	b-verb.social	2	b-verb.creation	1								
VBZ-makes	3	5	b-verb.change	3	b-verb.creation	1	b-verb.social	1								
VB-go	4	24	b-verb.motion	19	b-verb.change	2	b-verb.competition	2	b-verb.cognition	1						
VBG-looking	3	6	b-verb.perception	3	b-verb.cognition	2	b-verb.emotion	1								
VBD-had	3	12	b-verb.possession	10	b-verb.creation	1	b-verb.social	1								
VBN-been	2	19	b-verb.stative	16	b-verb.social	3										
VBP-get	4	19	b-verb.possession	9	b-verb.change	8	b-verb.perception	1	b-verb.motion	1						
VBG-getting	3	9	b-verb.possession	5	b-verb.change	3	b-verb.motion	1								
NN-essay	2	2	b-noun.communication	1	b-noun.act	1										
NN-morning	3	8	b-noun.time	6	b-noun.communication	1	b-noun.event	1								
NOUN-people	2	7	b-noun.group	5	b-noun.person	2										
NNP-twitter	3	8	b-noun.communication	5	b-noun.artifact	2	b-noun.location	1								
VBZ-comes	3	4	b-verb.motion	2	b-verb.change	1	b-verb.communication	1								
NNS-years	2	18	b-noun.time	16	b-noun.quantity	2										
NN-school	5	9	b-noun.group	4	b-noun.artifact	2	b-noun.location	1	b-noun.time	1	b-noun.act	1				
NN-day	3	84	b-noun.time	78	b-noun.state	5	b-noun.communication	1								
NN-fire	3	3	b-noun.attribute	1	b-noun.artifact	1	b-noun.event	1								
VB-cut	2	2	b-verb.contact	1	b-verb.body	1										
NN-book	2	4	b-noun.communication	3	b-noun.artifact	1										
VBD-played	2	4	b-verb.competition	3	b-verb.creation	1										
NN-work	2	13	b-noun.act	10	b-noun.location	3										
VBN-supposed	2	2	b-verb.stative	1	b-verb.cognition	1										
NN-hell	2	2	b-noun.location	1	b-noun.cognition	1										
VB-make	3	11	b-verb.social	5	b-verb.creation	4	b-verb.change	2								
NNS-kids	2	4	b-noun.person	3	b-noun.group	1										
VBG-working	2	3	b-verb.social	2	b-verb.motion	1										
NNP-cowboys	2	2	b-noun.person	1	b-noun.group	1										
NN-rest	2	2	b-noun.relation	1	b-noun.act	1										
VB-play	2	3	b-verb.competition	2	b-verb.motion	1										
VERB-getting	2	2	b-verb.social	1	b-verb.change	1										
VERB-watch	2	3	b-verb.perception	2	b-noun.artifact	1										
NN-year	2	25	b-noun.time	23	b-noun.attribute	2										
VERB-use	2	2	b-verb.social	1	b-verb.change	1										
